,protocol_type,flag,Attack_Binomial,land,logged_in,root_shell,su_attempted,is_host_login,is_guest_login
0,tcp,SF,0,0,0,0,0,0,0
1,udp,SF,0,0,0,0,0,0,0
2,tcp,S0,1,0,0,0,0,0,0
3,tcp,SF,0,0,1,0,0,0,0
4,tcp,SF,0,0,1,0,0,0,0
5,tcp,REJ,1,0,0,0,0,0,0
6,tcp,S0,1,0,0,0,0,0,0
7,tcp,S0,1,0,0,0,0,0,0
8,tcp,S0,1,0,0,0,0,0,0
9,tcp,S0,1,0,0,0,0,0,0
10,tcp,REJ,1,0,0,0,0,0,0
11,tcp,S0,1,0,0,0,0,0,0
12,tcp,SF,0,0,1,0,0,0,0
13,tcp,SF,1,0,1,0,0,0,0
14,tcp,S0,1,0,0,0,0,0,0
15,tcp,S0,1,0,0,0,0,0,0
16,tcp,SF,0,0,1,0,0,0,0
17,icmp,SF,1,0,0,0,0,0,0
18,tcp,SF,0,0,1,0,0,0,0
19,tcp,SF,0,0,1,0,0,0,0
20,tcp,S0,1,0,0,0,0,0,0
21,tcp,S0,1,0,0,0,0,0,0
22,tcp,SF,0,0,1,0,0,0,0
23,udp,SF,0,0,0,0,0,0,0
24,tcp,S0,1,0,0,0,0,0,0
25,tcp,SF,0,0,1,0,0,0,0
26,tcp,S0,1,0,0,0,0,0,0
27,tcp,SF,0,0,1,0,0,0,0
28,tcp,SF,0,0,1,0,0,0,0
29,tcp,SF,0,0,1,0,0,0,0
30,icmp,SF,1,0,0,0,0,0,0
31,tcp,S0,1,0,0,0,0,0,0
32,tcp,SF,0,0,1,0,0,0,0
33,tcp,REJ,1,0,0,0,0,0,0
34,udp,SF,0,0,0,0,0,0,0
35,udp,SF,0,0,0,0,0,0,0
36,udp,SF,0,0,0,0,0,0,0
37,tcp,S0,1,0,0,0,0,0,0
38,tcp,SF,0,0,1,0,0,0,0
39,tcp,S0,1,0,0,0,0,0,0
40,tcp,S0,1,0,0,0,0,0,0
41,tcp,S0,1,0,0,0,0,0,0
42,tcp,SF,0,0,1,0,0,0,0
43,udp,SF,0,0,0,0,0,0,0
44,tcp,SF,0,0,1,0,0,0,0
45,tcp,S0,1,0,0,0,0,0,0
46,udp,SF,1,0,0,0,0,0,0
47,tcp,SF,0,0,1,0,0,0,0
48,tcp,SF,1,0,1,0,0,0,0
49,tcp,S0,1,0,0,0,0,0,0
50,tcp,SF,0,0,1,0,0,0,0
51,tcp,REJ,1,0,0,0,0,0,0
52,udp,SF,1,0,0,0,0,0,0
53,tcp,SF,0,0,1,0,0,0,0
54,udp,SF,0,0,0,0,0,0,0
55,udp,SF,0,0,0,0,0,0,0
56,icmp,SF,1,0,0,0,0,0,0
