20% or more above Overall,,,,,,,,,,,,,,,,,,,,,High usage with good payment habits,Low usage with bad re-payment habits,Installment user,Low usage with good payment habits,Cash user with poor re-payment activities,Cash user with good re-payment habits,High usage with higher credit limit,,,,,,,,
20% or less below Overall,,,Cluster 3,,,Cluster 4,,,,Cluster 5,,,,,Cluster 6,,,,,,Cluster 7,,,,,,,Cluster 8,,,,,,,
Data Features,Feautre Grouping (Custom defined),Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,,7159,2417,1289,3453,2652,1188,1224,2095,2723,1238,592,1143,1463,543,2120,1017,1733,876,870,717,2030,710,1662,522,1020,498,1426,984,415,953,667,517,651,1546
Seg_Pct,,100.00%,33.76%,18.01%,48.23%,37.04%,16.59%,17.10%,29.26%,38.04%,17.29%,8.27%,15.97%,20.44%,7.58%,29.61%,14.21%,24.21%,12.24%,12.15%,10.02%,28.36%,9.92%,23.22%,7.29%,14.25%,6.96%,19.92%,13.74%,5.80%,13.31%,9.32%,7.22%,9.09%,21.60%
PURCHASES,Purchasing,809.839194,330.284156,2555.439763,493.8836171,508.0440913,2620.704137,475.7784191,360.1701957,344.7567205,503.3961955,386.669375,2614.426448,696.147676,375.0329466,457.9319387,464.5836676,320.6950952,2760.866787,1352.200799,2859.648089,462.8722414,753.2863873,305.4394946,373.1474234,419.641701,2293.873886,227.0836396,880.5236636,2530.819964,452.7954669,717.0194828,363.7310058,2890.805753,373.4556274
PURCHASES_FREQUENCY,,12.44559296,5.442697559,34.68347556,9.046046916,9.04638009,35.2003367,7.259803922,6.874940334,5.59860448,8.054927302,5.097972973,35.30271216,14.02050581,5.036832413,8.106603774,7.263520157,6.470282747,37.41210046,20.46436782,38.62761506,7.891625616,13.73380282,6.332731649,4.929118774,6.603921569,31.72088353,3.850631136,19.42276423,34.05301205,7.131164743,12.94602699,4.876208897,39.2764977,4.425614489
Avg_Monthly_Purchase,,48.79%,23.71%,91.46%,50.43%,52.53%,91.88%,28.15%,31.69%,27.23%,30.23%,40.07%,92.05%,74.38%,40.54%,44.94%,28.12%,30.79%,92.34%,79.53%,92.10%,42.25%,74.08%,30.80%,38.64%,26.88%,92.61%,19.46%,90.63%,92.56%,28.65%,72.05%,37.79%,91.93%,25.37%
PURCHASES_TRX,,69.90966498,29.3759135,217.8264926,43.06497531,44.67626434,223.3634534,42.69820413,30.73195895,28.86301862,43.37724271,50.0200577,221.2646026,58.55840767,49.4598282,38.49491318,40.347371,26.9128928,233.3846323,114.8265879,241.9064534,38.92421425,64.91484338,25.64860663,48.48992295,36.48631518,194.3271191,19.07501369,73.85901352,214.6275947,39.41986112,62.38297608,47.43564425,244.7225127,31.38385796
ONEOFF_PURCHASES,One-Off Purchases,434.5632926,183.6116247,1571.879532,185.6636542,180.5438793,1617.665899,265.5047525,183.9958659,204.8540393,272.3429628,215.3336588,1648.075152,140.00892,207.7276906,224.3473759,258.1537709,158.2487305,1650.379378,620.8118034,1623.210162,236.850698,107.2752676,157.7508424,217.1629598,234.6889039,1556.829161,156.9999439,198.1746748,1665.511092,250.520702,99.05145427,219.0870909,1750.507353,286.7424625
ONEOFF_PURCHASES_FREQUENCY,,20.00%,9.39%,69.76%,8.86%,8.48%,70.61%,12.12%,10.50%,10.20%,12.31%,11.32%,72.46%,7.30%,11.21%,11.19%,11.76%,9.66%,65.23%,31.67%,58.34%,10.65%,5.32%,10.13%,11.41%,11.05%,84.15%,9.66%,9.45%,82.57%,11.54%,5.27%,11.60%,66.20%,14.40%
INSTALLMENTS_PURCHASES,Installments,335.3439036,138.2918709,796.3514919,301.1811413,318.5570735,813.2256961,188.8424853,171.1972878,137.6717293,209.5248683,162.8798446,790.9851269,523.5367273,158.3829484,230.3106901,191.2845693,161.0005851,913.4382112,635.3380552,1018.330939,222.986535,595.0550859,147.8157768,146.0194904,172.4488706,597.6749056,70.37312062,647.2392754,695.2492458,189.26634,574.8128306,136.0471315,935.1883272,85.41274515
PURCHASES_INSTALLMENTS_FREQUENCY,,36.36%,15.80%,60.56%,41.71%,43.84%,61.69%,19.34%,22.46%,17.81%,21.75%,27.27%,60.33%,68.19%,27.71%,34.51%,19.48%,22.11%,69.06%,61.43%,74.99%,32.74%,68.21%,21.63%,26.01%,18.24%,47.11%,10.29%,86.99%,52.28%,19.72%,65.63%,25.16%,70.04%,11.08%
